,0,1,2
1007,-1042,23,44
1008,-1041,25,22
1009,-1038,20,14
1010,-1030,21,13
1011,-1023,18,24
1012,-1023,20,29
1013,-1028,15,30
1014,-1029,17,28
1015,-1031,14,34
1016,-1033,15,33
1017,-1034,17,31
1018,-1032,19,27
1019,-1032,20,28
1020,-1030,24,29
1021,-1028,22,31
1022,-1030,26,30
1023,-1030,25,34
1024,-1031,25,31
1025,-1032,26,31
1026,-1032,30,32
1027,-1032,29,31
1028,-1036,23,25
1029,-1033,26,30
1030,-1036,25,31
1031,-1032,23,29
1032,-1032,21,24
1033,-1036,20,33
1034,-1035,18,33
1035,-1032,16,33
1036,-1032,17,33
1037,-1030,17,31
1038,-1032,18,35
1039,-1033,19,28
1040,-1030,20,30
1041,-1031,22,26
1042,-1026,20,31
1043,-1025,24,25
1044,-1024,28,32
1045,-1027,26,29
1046,-1023,26,25
1047,-1029,24,26
1048,-1026,26,25
1049,-1033,28,25
1050,-1029,27,26
1051,-1030,27,25
1052,-1030,30,31
1053,-1031,31,30
1054,-1031,28,26
1055,-1036,28,27
1056,-1032,29,29
1057,-1034,27,33
1058,-1029,29,29
1059,-1029,26,25
1060,-1031,32,27
1061,-1033,31,30
1062,-1032,27,27
1063,-1031,24,32
1064,-1033,25,33
1065,-1029,26,31
1066,-1028,21,29
1067,-1030,22,31
1068,-1030,23,29
1069,-1027,21,30
1070,-1029,21,28
1071,-1028,17,34
1072,-1029,19,30
1073,-1028,19,32
1074,-1029,20,27
1075,-1032,20,27
1076,-1028,20,31
1077,-1029,19,28
1078,-1033,16,37
1079,-1032,16,33
1080,-1035,16,27
1081,-1036,17,34
1082,-1036,19,28
1083,-1040,20,30
1084,-1035,20,28
1085,-1037,20,30
1086,-1038,18,29
1087,-1036,20,30
1088,-1034,16,25
1089,-1035,12,33
1090,-1034,16,28
1091,-1036,18,29
1092,-1034,17,31
1093,-1032,16,32
1094,-1034,18,33
1095,-1032,16,28
1096,-1031,17,30
1097,-1030,18,29
1098,-1031,14,32
1099,-1032,18,32
1100,-1032,17,29
1101,-1032,19,29
1102,-1030,17,31
1103,-1030,16,29
1104,-1028,17,31
1105,-1030,16,35
1106,-1031,14,29
1107,-1030,13,35
1108,-1035,15,37
1109,-1030,17,32
1110,-1031,15,31
1111,-1032,22,28
1112,-1032,19,31
1113,-1030,21,27
1114,-1030,18,31
1115,-1033,19,27
1116,-1033,20,36
1117,-1031,18,24
1118,-1031,19,30
1119,-1029,16,33
1120,-1031,17,32
1121,-1031,13,38
1122,-1033,18,35
1123,-1035,16,33
1124,-1038,16,31
1125,-1038,20,33
1126,-1037,13,27
1127,-1034,14,34
1128,-1034,23,35
1129,-1031,21,31
1130,-1028,22,36
1131,-1027,24,35
1132,-1026,22,32
1133,-1029,21,18
1134,-1029,18,-5
1135,-1030,20,4
1136,-1027,16,39
1137,-1030,15,78
1138,-1036,12,82
1139,-1045,10,47
1140,-1044,13,11
1141,-1041,15,16
1142,-1033,15,31
1143,-1027,18,50
1144,-1029,16,37
1145,-1030,19,21
1146,-1030,23,11
1147,-1032,21,14
1148,-1026,21,25
1149,-1023,21,25
1150,-1023,17,24
1151,-1027,16,29
1152,-1029,20,32
1153,-1031,19,36
1154,-1031,20,41
1155,-1033,20,35
1156,-1035,19,33
1157,-1041,22,25
1158,-1038,25,25
1159,-1040,19,26
1160,-1038,21,22
1161,-1038,24,26
1162,-1036,21,33
1163,-1037,20,37
