,0
2329,193
2330,177
2331,144
2332,130
2333,115
2334,80
2335,18
2336,-52
2337,-108
2338,-156
2339,-200
2340,-236
2341,-255
2342,-262
2343,-276
2344,-288
2345,-309
2346,-352
2347,-352
2348,-312
2349,-297
2350,-295
2351,-286
2352,-276
2353,-264
2354,-245
2355,-241
2356,-238
2357,-224
2358,-222
2359,-224
2360,-203
2361,-191
2362,-200
2363,-193
2364,-177
2365,-172
2366,-167
2367,-174
2368,-193
2369,-184
2370,-160
2371,-158
2372,-158
2373,-148
2374,-148
2375,-134
2376,-113
2377,-111
2378,-113
2379,-104
2380,-89
2381,-85
2382,-75
2383,-73
2384,-73
2385,-68
2386,-61
2387,-61
2388,-47
2389,-33
2390,-42
2391,-49
2392,-35
2393,-21
2394,-9
2395,9
2396,2
2397,-44
2398,-82
2399,-87
2400,-94
2401,-94
2402,-80
2403,-80
2404,-80
2405,-63
2406,-47
2407,14
2408,234
2409,612
2410,924
2411,718
2412,-137
2413,-697
2414,-359
2415,-28
2416,-125
2417,-106
2418,9
2419,-7
2420,-28
2421,-37
2422,-104
2423,-118
2424,-70
2425,-66
2426,-63
2427,-37
2428,-37
2429,-37
2430,-7
2431,0
2432,-11
2433,4
2434,26
2435,40
2436,63
2437,94
2438,122
2439,144
2440,139
2441,132
2442,139
2443,122
2444,82
2445,28
2446,-56
2447,-134
2448,-186
2449,-219
2450,-238
2451,-248
2452,-257
2453,-260
2454,-257
2455,-238
2456,-219
2457,-210
2458,-208
2459,-203
2460,-191
2461,-174
2462,-191
2463,-255
2464,-286
2465,-262
2466,-248
2467,-250
2468,-234
2469,-215
2470,-215
2471,-212
2472,-200
2473,-189
2474,-184
2475,-177
2476,-170
2477,-158
2478,-151
2479,-148
2480,-137
2481,-125
2482,-122
2483,-118
2484,-108
2485,-104
2486,-99
2487,-92
2488,-89
2489,-85
2490,-80
2491,-113
2492,-160
2493,-153
2494,-137
2495,-158
2496,-170
2497,-156
2498,-146
2499,-139
2500,-120
2501,-104
2502,-87
2503,-73
2504,-78
2505,-94
2506,-101
2507,-89
2508,-70
2509,-59
2510,-56
2511,-56
2512,-56
2513,-30
2514,92
2515,382
2516,780
2517,952
2518,430
2519,-465
2520,-631
2521,-151
2522,-30
2523,-156
2524,-82
2525,-26
2526,-61
2527,-59
2528,-68
2529,-101
2530,-94
2531,-70
2532,-52
2533,-35
2534,-14
2535,-4
2536,-7
2537,2
2538,30
2539,56
2540,78
2541,94
2542,101
2543,115
2544,132
2545,137
2546,134
2547,127
2548,96
2549,70
2550,59
2551,30
2552,-18
2553,-82
2554,-148
2555,-196
2556,-215
2557,-222
2558,-229
2559,-252
2560,-290
2561,-330
2562,-342
2563,-314
2564,-283
2565,-274
2566,-264
2567,-255
2568,-250
2569,-231
2570,-208
2571,-198
2572,-196
2573,-191
2574,-191
2575,-184
2576,-170
2577,-160
2578,-160
2579,-158
2580,-153
2581,-146
2582,-134
2583,-122
2584,-120
2585,-113
2586,-108
2587,-108
2588,-99
2589,-87
