,0
1698,-170
1699,-177
1700,-172
1701,-175
1702,-172
1703,-163
1704,-160
1705,-155
1706,-131
1707,-114
1708,-109
1709,-102
1710,-94
1711,-94
1712,-92
1713,-97
1714,-97
1715,-87
1716,-92
1717,-107
1718,-104
1719,-90
1720,-85
1721,-92
1722,-94
1723,-90
1724,-87
1725,-82
1726,-75
1727,-80
1728,-82
1729,-72
1730,-68
1731,-68
1732,-60
1733,-51
1734,-60
1735,-85
1736,-94
1737,-85
1738,-75
1739,-72
1740,-68
1741,-65
1742,-68
1743,-72
1744,-65
1745,-63
1746,-80
1747,-80
1748,-63
1749,-60
1750,-55
1751,-53
1752,-58
1753,-68
1754,-63
1755,-63
1756,-72
1757,-85
1758,-87
1759,-68
1760,-46
1761,-60
1762,-80
1763,-75
1764,-68
1765,-70
1766,-70
1767,-75
1768,-80
1769,-82
1770,-80
1771,-80
1772,-82
1773,-90
1774,-70
1775,51
1776,384
1777,927
1778,1267
1779,732
1780,-326
1781,-586
1782,-165
1783,-126
1784,-279
1785,-199
1786,-155
1787,-197
1788,-167
1789,-128
1790,-136
1791,-126
1792,-107
1793,-107
1794,-104
1795,-87
1796,-68
1797,-55
1798,-46
1799,-43
1800,-58
1801,-65
1802,-48
1803,-36
1804,-34
1805,-41
1806,-46
1807,-48
1808,-51
1809,-65
1810,-77
1811,-77
1812,-87
1813,-104
1814,-109
1815,-109
1816,-119
1817,-128
1818,-131
1819,-126
1820,-119
1821,-111
1822,-104
1823,-92
1824,-87
1825,-87
1826,-72
1827,-55
1828,-51
1829,-48
1830,-55
1831,-80
1832,-97
1833,-85
1834,-77
1835,-90
1836,-90
1837,-87
1838,-94
1839,-102
1840,-97
1841,-104
1842,-119
1843,-116
1844,-111
1845,-109
1846,-102
1847,-102
1848,-104
1849,-94
1850,-85
1851,-90
1852,-90
1853,-85
1854,-82
1855,-72
1856,-77
1857,-94
1858,-99
1859,-102
1860,-104
1861,-102
1862,-97
1863,-97
1864,-94
1865,-109
1866,-133
1867,-133
1868,-119
1869,-121
1870,-126
1871,-121
1872,-119
1873,-116
1874,-119
1875,-119
1876,-119
1877,-128
1878,-133
1879,-114
1880,-82
1881,-72
1882,-63
1883,-55
1884,-60
1885,-58
1886,-58
1887,-65
1888,-63
1889,-60
1890,-55
1891,-48
1892,-38
1893,-38
1894,-14
1895,126
1896,508
1897,1090
1898,1360
1899,671
1900,-362
1901,-462
1902,-48
1903,-97
1904,-233
1905,-138
1906,-119
1907,-184
1908,-180
1909,-148
1910,-141
1911,-126
1912,-104
1913,-99
1914,-104
1915,-90
1916,-70
1917,-58
1918,-46
1919,-36
1920,-36
1921,-31
1922,-19
1923,-9
1924,-9
1925,-14
1926,-29
1927,-46
1928,-53
1929,-53
1930,-58
1931,-80
1932,-119
1933,-136
1934,-133
1935,-143
1936,-160
1937,-170
1938,-182
1939,-189
1940,-175
1941,-163
1942,-153
1943,-148
1944,-148
1945,-145
1946,-143
1947,-143
1948,-138
1949,-131
1950,-131
1951,-131
1952,-128
1953,-128
1954,-126
1955,-128
1956,-128
1957,-128
1958,-128
1959,-131
1960,-126
1961,-121
1962,-119
1963,-111
1964,-107
1965,-109
1966,-107
1967,-99
1968,-102
1969,-109
1970,-111
1971,-109
1972,-107
1973,-102
1974,-97
1975,-92
1976,-94
1977,-116
1978,-131
1979,-119
1980,-109
1981,-109
1982,-99
1983,-99
1984,-99
1985,-92
1986,-87
1987,-85
1988,-77
1989,-75
1990,-72
1991,-68
1992,-65
1993,-68
1994,-70
1995,-70
1996,-68
1997,-65
1998,-60
1999,-38
2000,-29
2001,-46
2002,-65
2003,-75
2004,-77
2005,-65
2006,-51
2007,-46
2008,-41
2009,-43
2010,-46
2011,-2
2012,175
2013,581
2014,1129
2015,1260
2016,457
2017,-447
2018,-360
2019,2
2020,-111
2021,-204
2022,-102
